AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1347280,3164670,it,Stato della Città del Vaticano,,,,,,
1347281,3164670,en,Vatican City,,1,,,,
1347282,3164670,en,Holy See,,,,,,
1347283,3164670,it,Città del Vaticano,1,,,,,
1347284,3164670,it,Città Vaticano,,,1,,,
1347285,3164670,en,Vatican City State,,,,,,
1563573,3164670,af,Vatikaan,,,,,,
1563574,3164670,am,ቫቲካን,,,,,,
1563575,3164670,ar,الفاتيكان,,,,,,
1563576,3164670,bg,Свещено море (Ватиканска държава),,,,,,
1563577,3164670,ca,el Vaticà,,,,,,
1563578,3164670,cs,Svatý stolec,,,,,,
1563579,3164670,cy,Y Fatican,,,,,,
1563580,3164670,da,Vatikanstaten,,,,,,
1563581,3164670,de,Vatikanstadt,,,,,,
1563582,3164670,el,Βατικανό,1,,,,,
1563583,3164670,en,Vatican,,,,,,
1563584,3164670,eo,Vatikano,,,,,,
1563585,3164670,es,Ciudad del Vaticano,1,,,,,
1563586,3164670,et,Püha Tool (Vatikan),,,,,,
1563587,3164670,eu,Vatikano,,,,,,
1563588,3164670,fa,واتیکان,,,,,,
1563589,3164670,fi,Vatikaanivaltio,1,,,,,
1563590,3164670,fo,Vatikan,,,,,,
1563591,3164670,fr,Saint-Siège (Etat de la Cité du Vatican),,,,,,
1563592,3164670,ga,An Vatacáin,1,,,,,
1563593,3164670,he,וטיקאן,,,,,,
1563594,3164670,hi,वैटिकन,,,,,,
1563595,3164670,hr,Sveta Stolica (Država Vatikanskog Grada),,,,,,
1563596,3164670,hu,Vatikán,,,,,,
1563597,3164670,hy,Վատիկան,,,,,,
1563598,3164670,id,Vatikan,,,,,,
1563599,3164670,is,Páfagarður,,,,,,
1563600,3164670,it,Vaticano,,1,,,,
1563601,3164670,ja,ローマ教皇庁 (バチカン市国),,,,,,
1563602,3164670,ka,ვატიკანი,,,,,,
1563603,3164670,km,វ៉ាទីកង់,,,,,,
1563604,3164670,ko,바티칸,,,,,,
1563605,3164670,lo,ວາຕິກັນ,,,,,,
1563606,3164670,lt,"Vatikano Miesto Valstybė, Šventasis Sostas",,,,,,
1563607,3164670,lv,Vatikāns,,,,,,
1563608,3164670,mk,Ватикан,,,,,,
1563609,3164670,ms,Vatican,,,,,,
1563610,3164670,mt,Vatikan,,,,,,
1563611,3164670,nb,Vatikanstaten,,,,,,
1563612,3164670,nl,Vaticaanstad,,,,,,
1563613,3164670,nn,Vatikanstaten,,,,,,
1563614,3164670,pl,Stolica Apostolska (Państwo Watykańskie),,,,,,
1563615,3164670,pt,Vaticano,,1,,,,
1563616,3164670,ro,Sfântul Scaun (Statul Vatican),,,,,,
1563617,3164670,ru,Государство-город Ватикан,,,,,,
1563618,3164670,sk,Svätá stolica (Vatikánsky mestský štát),,,,,,
1563619,3164670,sl,Vatikan,,,,,,
1563620,3164670,so,Faatikaan,,,,,,
1563621,3164670,sq,Vatikan,,,,,,
1563622,3164670,sr,Ватикан,,,,,,
1563623,3164670,sv,Vatikanen,,1,,,,
1563624,3164670,sw,Vatikani,1,,,,,
1563625,3164670,ta,வாடிகன்,,,,,,
1563626,3164670,th,วาติกัน,,,,,,
1563627,3164670,tr,Vatikan,1,,,,,
1563628,3164670,uk,Ватикан,,,,,,
1563629,3164670,vi,Va-ti-căng,,,,,,
1563630,3164670,zh,梵蒂冈,,,,,,
1626995,3164670,es,Santa Sede,,,,,,
1974940,3164670,en,Vatican Hill,,,,,,
1974941,3164670,pl,Watykan,,,,,,
1974942,3164670,it,Colle Vaticano,,,,,,
1974944,3164670,pt,Colina do Vaticano,,,,,,
2039300,3164670,is,Vatíkanið,,,,,,
2254573,3164670,fr,Vatican,1,1,,,,
2422113,3164670,be,Ватыкан,1,,,,,
2422114,3164670,bg,Ватикана,1,,,,,
2422115,3164670,bn,ভ্যাটিকান সিটি,1,,,,,
2422116,3164670,bo,ཝེ་ཊི་ཀན།,1,,,,,
2422117,3164670,ca,Ciutat del Vaticà,1,,,,,
