AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1391883,3374934,,Cerro Valise,,,,,,
4401848,3374934,,Cerro Valisa,,,,,,
1391884,3374936,,Punta Playa,,,,,,
1391885,3374936,,Point Playa,,,,,,
4402539,3374936,,Playa Point,,,,,,
15693952,3374936,wkdt,Q31997029,,,,,,
1391886,3374937,,Mururuma River,,,,,,
1391887,3374937,,Mururuma Creek,,,,,,
1391888,3374937,,Moruruma River,,,,,,
4402854,3374937,,Río Mururuma,,,,,,
1391889,3374939,,Haiowa River,,,,,,
1391890,3374939,,Río Haiwoa,,,,,,
1391891,3374939,,Río Jayoba,,,,,,
4404024,3374939,,Quebrada Jayoba,,,,,,
1391892,3374940,,Guiana,,,,,,
1391893,3374940,,Guayana Highlands,,,,,,
1391894,3374940,,Sistema de Guayana,,,,,,
1391895,3374940,,Planalto das Guianas,,,,,,
1391896,3374940,,Guiana Massif,,,,,,
1391897,3374940,,Escudo de Guayana,,,,,,
4404147,3374940,,Guiana Highlands,,,,,,
1391898,3374941,,Guayana,,,,,,
1391899,3374941,,Goyana,,,,,,
1391900,3374941,,Guyana,,,,,,
1391901,3374941,,Gayana,,,,,,
4404148,3374941,,Guiana,,,,,,
1391902,3374942,,Río Auara,,,,,,
4405666,3374942,,Quebrada Auara,,,,,,
15379259,3411867,wkdt,Q31538721,,,,,,
16034802,3411867,,Sierra Urapan Tepuy,,,,,,
15528281,3411868,wkdt,Q31538736,,,,,,
16034814,3411868,,Cerro El Orégano,,,,,,
15114654,3480827,wkdt,Q31397868,,,,,,
15911983,3480827,,Cerro Volantin,,,,,,
15475024,3480830,wkdt,Q32002616,,,,,,
15911984,3480830,,Punta Tunal,,,,,,
14939229,3480832,wkdt,Q32000405,,,,,,
15911985,3480832,,Punta de Tigre,,,,,,
15114095,3480834,wkdt,Q31397870,,,,,,
15911986,3480834,,Cerro Taguapiral,,,,,,
15682557,3480835,wkdt,Q32002444,,,,,,
15264486,3480840,wkdt,Q31538771,,,,,,
15911987,3480840,,Cerro Santa Elena,,,,,,
