AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
13935108,3577290,en,Zinums Ghut,,,,,,
15647664,3577291,wkdt,Q32042452,,,,,,
13935109,3577292,en,Windlass Bight,,,,,,
13935110,3577293,en,White Rock,,,,,,
13935111,3577294,en,White Horse,,,,,,
13935112,3577295,en,White Bay,,,,,,
15786164,3577300,wkdt,Q32042036,,,,,,
13935113,3577301,en,Whale Rocks,,,,,,
15644785,3577304,wkdt,Q32041919,,,,,,
13935114,3577305,en,West Point,,,,,,
15261977,3577306,wkdt,Q32041860,,,,,,
15753487,3577307,wkdt,Q32041856,,,,,,
15499954,3577310,wkdt,Q32041835,,,,,,
14845842,3577311,wkdt,Q26715688,,,,,,
13935115,3577313,en,Wedgeo Bluff,,,,,,
15798623,3577316,wkdt,Q32041339,,,,,,
15616571,3577317,wkdt,Q32041286,,,,,,
15613220,3577318,wkdt,Q32041050,,,,,,
16080382,3577319,en,Walkover Set Bay,,,,,,
15213350,3577320,wkdt,Q32039804,,,,,,
13935116,3577321,en,Virgin Sound,,,,,,
1455645,3577324,,Virgin Gorda Peak,,,,,,
13935117,3577324,,Virgin Peak,,,,,,
1455647,3577325,en,Virgin Gorda Island,,,,,,
1455648,3577325,,Spanish Town,,,,,,
2986176,3577325,link,https://en.wikipedia.org/wiki/Virgin_Gorda,,,,,,
4316631,3577325,,Virgin Gorda,,,,,,
8151354,3577325,iata,VIJ,,,,,,
9466093,3577325,es,Virgen Gorda,,,,,,
9466094,3577325,ca,Verge Grossa,,,,,,
9466095,3577325,el,Βίρτζιν Γκόρντα,,,,,,
9466096,3577325,he,וירגין גורדה,,,,,,
9466097,3577325,ja,ヴァージン・ゴルダ島,,,,,,
9466098,3577325,ko,버진고다 섬,,,,,,
9466099,3577325,lt,Virdžin Gorda,,,,,,
9466100,3577325,sr,Вирџин Горда,,,,,,
9466101,3577325,ru,Верджин-Горда,,,,,,
9466102,3577325,zh,维尔京戈尔达岛,,,,,,
11424855,3577325,fa,ویرجین گوردا,,,,,,
13821452,3577325,unlc,VGVIJ,,,,,,
5762019,3577326,link,https://en.wikipedia.org/wiki/Virgin_Gorda_Airport,,,,,,
5775969,3577326,,Virgin Gorda,,,,,,
5804840,3577326,iata,VIJ,,,,,,
5804985,3577326,icao,TUPW,,,,,,
5892254,3577326,,Virgin Gorda Airport,1,,,,,
5893347,3577326,pl,Port lotniczy Virgin Gorda,,,,,,
13821447,3577326,unlc,VGNSX,,,,,,
15721788,3577326,wkdt,Q7933920,,,,,,
13935118,3577327,en,Vanterpool Ghut,,,,,,
13935119,3577329,en,Valley Ghut,,,,,,
13935120,3577332,en,Upper Flat Rock,,,,,,
13935121,3577333,en,Upper Bluff,,,,,,
16080383,3577334,en,Upper Bens Bay,,,,,,
13935122,3577335,en,Two Ghut,,,,,,
13935123,3577336,en,Turn Ghut,,,,,,
15605945,3577339,wkdt,Q32035357,,,,,,
15636454,3577340,wkdt,Q32035234,,,,,,
15293279,3577341,wkdt,Q32035229,,,,,,
1455649,3577342,,Tortola Island,,,,,,
1944954,3577342,fr,Tortola,,,,,,
1944955,3577342,de,Tortola,,,,,,
1944956,3577342,en,Tortola,,,,,,
1944957,3577342,he,טורטולה,,,,,,
1944958,3577342,ja,トルトラ島,,,,,,
1944959,3577342,nl,Tortola,,,,,,
1944960,3577342,pt,Tortola,,,,,,
1944961,3577342,sr,Тортола,,,,,,
2986177,3577342,link,https://en.wikipedia.org/wiki/Tortola,,,,,,
3056533,3577342,link,https://ru.wikipedia.org/wiki/%D0%A2%D0%BE%D1%80%D1%82%D0%BE%D0%BB%D0%B0,,,,,,
4316632,3577342,,Tortola,,,,,,
8066566,3577342,iata,TOV,,,,,,
13821451,3577342,unlc,VGTOV,,,,,,
15609274,3577343,wkdt,Q32034289,,,,,,
