AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
12519782,4046952,,Denis Bay Estate,,,,,,
12508051,4046954,,Bajo del Aguila,,,,,,
15694099,4046954,wkdt,Q31912897,,,,,,
15431620,4046956,wkdt,Q7898487,,,,,,
15363191,4795159,wkdt,Q31613372,,,,,,
12719171,4795161,,Adelphi Estate,,,,,,
12520058,4795164,,Adrian Estate,,,,,,
12678384,4795167,,Adventure Estate,,,,,,
15232599,4795168,wkdt,Q31613390,,,,,,
12420842,4795169,,Agnes Fancy Estate,,,,,,
12673864,4795171,,Ajak Peak,,,,,,
15691762,4795171,wkdt,Q31613403,,,,,,
12378303,4795173,,Alders Hvile,,,,,,
12607212,4795173,,Alder's Hvile,,,,,,
12678381,4795173,,Aldershvile,,,,,,
12719173,4795173,,Alders Villa,,,,,,
15289499,4795174,wkdt,Q31613416,,,,,,
12336003,4795179,,All for the Better Estate,,,,,,
11296935,4795180,link,https://en.wikipedia.org/wiki/All_Saints_Cathedral_School,,,,,,
12607213,4795180,,All Saints Church School,,,,,,
15542197,4795180,wkdt,Q4729406,,,,,,
12516907,4795181,,All Saints Parish Church,,,,,,
12569178,4795181,,All Saints Cathedral,,,,,,
12678383,4795181,,All Saints Anglican Cathedral,,,,,,
12719174,4795181,,All Saints Anglican Church,,,,,,
12714573,4795182,,All-For-The-Better,,,,,,
12415973,4795183,,Allendale,,,,,,
12602891,4795183,,August Pentheny's Plantage,,,,,,
12602892,4795183,,Bog of Allen,,,,,,
15460917,4795185,wkdt,Q4736924,,,,,,
12373446,4795186,,Altona and Velgunst,,,,,,
13821458,4795186,unlc,VION6,,,,,,
12719205,4795187,,Altona Estate,,,,,,
12331245,4795190,,Shoy Lagoon,,,,,,
12415964,4795190,,Lagune,,,,,,
12415974,4795190,,TheLagoon,,,,,,
12564710,4795190,,Christiansted Lagoon,,,,,,
15556645,4795191,wkdt,Q31870510,,,,,,
15443006,4795193,wkdt,Q31613429,,,,,,
15307785,4795195,wkdt,Q31613441,,,,,,
12508082,4795201,,Thornbull Estate,,,,,,
12564711,4795201,,Turnbull,,,,,,
12714574,4795201,,Thornbull,,,,,,
13821453,4795201,unlc,VIAGL,,,,,,
15645059,4795201,wkdt,Q4763969,,,,,,
12678433,4795202,,Anguilla Estate,,,,,,
12420876,4795204,,Tutu Estate,,,,,,
12761002,4795204,,Anna Retreat Estate,,,,,,
15257601,4795205,wkdt,Q4767736,,,,,,
12540356,4795206,,Anneberg,,,,,,
12714575,4795206,,Annaberg Plantation,,,,,,
12420814,4795207,,Annaberg Historic Trail,,,,,,
12520052,4795207,,Annaberg Sugar Plantation Ruins Walk,,,,,,
15735001,4795208,wkdt,Q31871302,,,,,,
12420844,4795209,,Annaberg Estate,,,,,,
12678399,4795210,,Anna Hill,,,,,,
12607247,4795215,,Annaberg and Shannon Grove Estate,,,,,,
12625929,4795216,,Annally,,,,,,
12378343,4795218,,Annaly Estate,,,,,,
15740296,4795219,wkdt,Q31613453,,,,,,
12760966,4795221,,Annas Fancy Estate,,,,,,
12373447,4795222,,Annahope,,,,,,
12415975,4795222,,Annashaab,,,,,,
12755613,4795222,,Anna's Hope,,,,,,
15375851,4795222,wkdt,Q4768015,,,,,,
12760967,4795223,,Annas Hope Estate,,,,,,
12335987,4795227,,Athalie MacFarlane Petersen Library,,,,,,
12450277,4795227,,Peterson Public Library,,,,,,
12378307,4795228,,Krabbenpan Bay,,,,,,
12420815,4795228,,Baye des Crabes,,,,,,
12569104,4795228,,Crabpond Bay,,,,,,
12607214,4795228,,Baye de Nattpan,,,,,,
12607215,4795228,,Crab Bay,,,,,,
12678400,4795228,,Nattepan Bay,,,,,,
12678401,4795228,,Baie des Crabes,,,,,,
12719175,4795228,,Nattpan Bay,,,,,,
12760918,4795228,,Crabbe Pan Bay,,,,,,
12451284,4795230,,Lisenlund Estate,,,,,,
12678451,4795230,,Bakkero Estate,,,,,,
12331246,4795232,,Sand Punt,,,,,,
12560868,4795232,,Sandpoint,,,,,,
12564558,4795232,,Pointe de la Banane,,,,,,
12569105,4795233,,Baie de la Banane,,,,,,
12607216,4795233,,Banana Bay,,,,,,
12415976,4795234,,Barensbay,,,,,,
12714576,4795234,,Pulbedam Bay,,,,,,
12714577,4795234,,Willem Barentses Bay,,,,,,
12755614,4795234,,Barentz Bay,,,,,,
