AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
759219,1559967,,Ea Znim,,,,,,
7637632,1559967,,Ea Znin,,,,,,
2184959,1559969,,Nghệ An,1,1,,,,
5649067,1559969,,Tỉnh Nghệ An,,,,,,
5701106,1559969,link,https://en.wikipedia.org/wiki/Nghe_An_province,,,,,,
13821554,1559969,unlc,VNNAN,,,,,,
14909057,1559969,wkdt,Q36587,,,,,,
2184960,1559970,,Ninh Bình,1,1,,,,
5649068,1559970,,Tỉnh Ninh Bình,,,,,,
5701105,1559970,link,https://en.wikipedia.org/wiki/Ninh_Binh_province,,,,,,
14933456,1559970,wkdt,Q36900,,,,,,
2184934,1559971,,Ninh Thuận,1,1,,,,
5649069,1559971,,Tỉnh Ninh Thuận,,,,,,
5701124,1559971,link,https://en.wikipedia.org/wiki/Ninh_Thuan_province,,,,,,
15328356,1559971,wkdt,Q36903,,,,,,
2184930,1559972,,Sóc Trăng,1,1,,,,
5649070,1559972,,Tỉnh Sóc Trăng,,,,,,
5701075,1559972,link,https://en.wikipedia.org/wiki/Soc_Trang_province,,,,,,
15351806,1559972,wkdt,Q33272,,,,,,
759220,1559973,en,Yusun Shoal,,,,,,
3600554,1559973,,Roche Yusun,,,,,,
9187123,1559973,fr,Rocher Yusun,,,,,,
15530627,1559974,wkdt,Q31614727,,,,,,
15913839,1559974,,Phu Yuc,,,,,,
2184928,1559975,,Trà Vinh,1,1,,,,
5649071,1559975,,Tỉnh Trà Vinh,,,,,,
5700531,1559975,link,https://en.wikipedia.org/wiki/Tra_Vinh_province,,,,,,
14912868,1559975,wkdt,Q36615,,,,,,
2184941,1559976,,Tuyên Quang,1,1,,,,
5649072,1559976,,Tỉnh Tuyên Quang,,,,,,
5700534,1559976,link,https://en.wikipedia.org/wiki/Tuyen_Quang_province,,,,,,
14947702,1559976,wkdt,Q2332060,,,,,,
2184942,1559977,,Vĩnh Long,1,1,,,,
5649073,1559977,,Tỉnh Vĩnh Long,,,,,,
5700535,1559977,link,https://en.wikipedia.org/wiki/Vinh_Long_province,,,,,,
14868484,1559977,wkdt,Q7333405,,,,,,
2184926,1559978,,Yên Bái,1,1,,,,
5649074,1559978,,Tỉnh Yên Bái,,,,,,
5700532,1559978,link,https://en.wikipedia.org/wiki/Yen_Bai_province,,,,,,
14937378,1559978,wkdt,Q36349,,,,,,
759221,1559982,,Nam Yom,,,,,,
759222,1559982,,Nam Youm,,,,,,
7637633,1559982,,Nam Youn,,,,,,
759223,1559985,,You,,,,,,
7637634,1559985,,You Lang,,,,,,
15288860,1559987,wkdt,Q31614752,,,,,,
15913840,1559987,,Kong You,,,,,,
15506334,1559988,wkdt,Q31614765,,,,,,
15913841,1559988,,Đá You,,,,,,
11170338,1559992,vi,Ngòi Giám,,,,,,
11170339,1559992,,Ngòi Yôm,,,,,,
15687274,1559995,wkdt,Q31614778,,,,,,
15913842,1559995,,Yola Maun,,,,,,
15761336,1559997,wkdt,Q31614790,,,,,,
15913843,1559997,,Núi Y Nhơn,,,,,,
7092366,1559999,vi,Yên Nhân,,,,,,
7092367,1559999,,Y Nhân,,,,,,
10148971,1560003,vi,Suối Y Ma Hò,,,,,,
10148972,1560003,,Y Ma Hồ,,,,,,
759224,1560004,,Y Lo,,,,,,
7092368,1560004,,Ỷ La,,,,,,
15258654,1560005,wkdt,Q31614802,,,,,,
15913844,1560005,,Chư Yi Yang,,,,,,
7996904,1560006,vi,Y Lìn Hồ,,,,,,
7996905,1560006,,Yi Lin Ho,,,,,,
11017769,1560006,vi,Y Linh Hồ,,,,,,
759225,1560011,,Ye Yen Sun Ho Too,,,,,,
7637635,1560011,,Ye Yen Sun Hô Tao,,,,,,
759226,1560015,,Yeon Tinh,,,,,,
7637636,1560015,,Yeun Tinh,,,,,,
759227,1560016,,Dak Heut,,,,,,
759228,1560016,,Dak Yeut,,,,,,
7637637,1560016,,Đak Yeul,,,,,,
759229,1560017,,Dak Jau,,,,,,
759230,1560017,,Dak Yol,,,,,,
7637638,1560017,,Đa Yeul,,,,,,
759231,1560020,,Hieu,,,,,,
7637639,1560020,,Yeu,,,,,,
759232,1560021,,Yeo Yi Tono,,,,,,
759233,1560021,,Yo Yi Tong,,,,,,
7637640,1560021,,Yeo Yi Tong,,,,,,
8436778,1560024,vi,Yên Xá,,,,,,
759234,1560032,,Cho Vac,,,,,,
759235,1560032,,Yen Vuc,,,,,,
3600555,1560032,,Yên Vực Thượng,,,,,,
10645920,1560036,vi,Yên Vịnh,,,,,,
10645921,1560036,,Yên Vinh,,,,,,
13821633,1560037,unlc,VNVYN,,,,,,
13823855,1560037,,Yên Vinh,,,,,,
759236,1560038,,Yen Vin,,,,,,
7637641,1560038,,Yên Vĩnh,,,,,,
759237,1560039,,Lang Van,,,,,,
7637642,1560039,,Yên Viên,,,,,,
13821637,1560040,unlc,VNYEV,,,,,,
