AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1057477,2134013,,Southern District,,,,,,
4125546,2134013,,Circonscription de Tanna,,,,,,
13821663,2134013,unlc,VUTAH,,,,,,
1057478,2134014,,Northern District,,,,,,
4125547,2134014,,Circonscription de Santo,,,,,,
1057479,2134021,,Baie Picot,,,,,,
1057480,2134021,,Yeu Méténia,,,,,,
1057481,2134021,,Picot Bay,,,,,,
4125548,2134021,,Yeu Méténia Bay,,,,,,
15610432,2134022,wkdt,Q31998976,,,,,,
15926301,2134022,,Pointe Yetchio,,,,,,
1057482,2134024,,Ytapoua,,,,,,
4125549,2134024,,Yétakapé,,,,,,
15791052,2134028,wkdt,Q31998971,,,,,,
15926302,2134028,,Pointe Yentenir,,,,,,
1057483,2134031,,Yemyu Cove,,,,,,
1057484,2134031,,Anse Yemyu,,,,,,
1057485,2134031,,Anse Yemiu,,,,,,
4125550,2134031,,Baie Yéméyou,,,,,,
15236131,2134034,wkdt,Q32516629,,,,,,
15926303,2134034,,Pointe Yéliméou,,,,,,
15324656,2134036,wkdt,Q32516635,,,,,,
15926304,2134036,,Pointe Yélé,,,,,,
8240061,2134040,,Yarouareung,,,,,,
8240062,2134040,,Yéruareng,,,,,,
1057486,2134045,,Vapana,,,,,,
4125551,2134045,,Yapana,,,,,,
1057487,2134046,,Yasowa,,,,,,
1057488,2134046,,Mount Watt,,,,,,
1057489,2134046,,Yasur Volcano,,,,,,
1057490,2134046,,Yasava,,,,,,
1057491,2134046,,Mount Yasua,,,,,,
1057492,2134046,,Yaouwey,,,,,,
1057493,2134046,,Mount Yasur,,,,,,
2940524,2134046,link,https://en.wikipedia.org/wiki/Mount_Yasur,,,,,,
4125552,2134046,,Yasur,,,,,,
15641460,2134048,wkdt,Q31998968,,,,,,
15926305,2134048,,Pointe Yanterra,,,,,,
1057494,2134066,,Poussy,,,,,,
1057495,2134066,,Wus,,,,,,
1057496,2134066,,Wousi,,,,,,
4125553,2134066,,Wusi,,,,,,
1057497,2134067,,Ouro,,,,,,
4125554,2134067,,Wuro,,,,,,
1057498,2134068,,Wunpuku,,,,,,
1057499,2134068,,Wunpuka,,,,,,
1057500,2134068,,Wounpouko,,,,,,
4125555,2134068,,Wunpuko,,,,,,
1057501,2134069,,Pointe du Naufrage,,,,,,
4125556,2134069,,Wreck Point,,,,,,
1057502,2134071,,Mouillage de Wowo,,,,,,
4125557,2134071,,Baie Wowo,,,,,,
8240063,2134071,,Malua Bay,,,,,,
1057503,2134073,,Ouo-Ouo,,,,,,
4125558,2134073,,Wowo,,,,,,
15703882,2134074,wkdt,Q31666873,,,,,,
15926306,2134074,,Wowis,,,,,,
13671772,2134077,bi,Wouta,,,,,,
13671773,2134077,en,Mount Guta,,,,,,
13671774,2134087,en,Mount Wonvara,,,,,,
13671775,2134087,fr,Wounvara,,,,,,
14950986,2134087,wkdt,Q6924645,,,,,,
1057504,2134090,,Wonisule,,,,,,
4125559,2134090,,Wounsoulé,,,,,,
1057505,2134092,,Laltaye,,,,,,
4125560,2134092,,Wounpouka,,,,,,
16079713,2134095,bi,Woungmouil,,,,,,
16079714,2134096,bi,Wounépara,,,,,,
13671776,2134117,fr,Île Wosou,,,,,,
13671777,2134117,en,Wosu Island,,,,,,
15567295,2134117,wkdt,Q32606191,,,,,,
15705457,2134122,wkdt,Q31666928,,,,,,
15926307,2134122,,Wormous,,,,,,
15236809,2134124,wkdt,Q31998960,,,,,,
15926308,2134124,,Pointe Worman,,,,,,
1057506,2134127,,First Point,,,,,,
1057507,2134127,,Premiére Pointe,,,,,,
1057508,2134127,,Pointe Bayac,,,,,,
4125561,2134127,,Pointe Worharèt,,,,,,
15436761,2134127,wkdt,Q32516602,,,,,,
1057509,2134128,,Worbouter,,,,,,
4125562,2134128,,Worbouler,,,,,,
1057510,2134134,,Quora,,,,,,
1057511,2134134,,Ouora,,,,,,
4125563,2134134,,Wora,,,,,,
1057512,2134140,,North Point,,,,,,
1057513,2134140,,Wongéoné,,,,,,
1057514,2134140,,Pointe Nord,,,,,,
1057515,2134140,,Pointe Wounnioné,,,,,,
4125564,2134140,,Wongéoné Point,,,,,,
8240064,2134140,,Wounnione Point,,,,,,
15456062,2134140,wkdt,Q32565777,,,,,,
1057516,2134141,,Pointe Wongyayou,,,,,,
4125565,2134141,,Wongyanit Point,,,,,,
15588211,2134141,wkdt,Q32043625,,,,,,
16079715,2134143,bi,Womel,,,,,,
15254895,2134149,wkdt,Q31666940,,,,,,
15926309,2134149,,Wokata,,,,,,
1057517,2134157,,Wintoua,,,,,,
4125566,2134157,,Wintua,,,,,,
15353658,2134159,wkdt,Q31998953,,,,,,
15926310,2134159,,Pointe Winnfar,,,,,,
1057518,2134165,,Pointe Hylambélane,,,,,,
4125567,2134165,,Pointe Windemin,,,,,,
15381657,2134165,wkdt,Q31998948,,,,,,
1057519,2134184,,Wienna,,,,,,
1057520,2134184,,Vienna,,,,,,
4125568,2134184,,Wiana,,,,,,
1057521,2134189,,Pointe Ouest,,,,,,
4125569,2134189,,West Point,,,,,,
15590193,2134189,wkdt,Q32041907,,,,,,
15419311,2134195,wkdt,Q31666996,,,,,,
15926311,2134195,,Wensaoro,,,,,,
15539649,2134197,wkdt,Q32516612,,,,,,
15926312,2134197,,Pointe Wénèmbangal,,,,,,
1057522,2134204,,Île Tortue,,,,,,
4125570,2134204,,Île Wékésa,,,,,,
15533418,2134204,wkdt,Q32606200,,,,,,
1057523,2134208,,Wailapa,,,,,,
4125571,2134208,,Waylapa,,,,,,
1057524,2134211,,Baie Barreé,,,,,,
1057525,2134211,,Baie Lolowei,,,,,,
1057526,2134211,,Lolowai Bay,,,,,,
4125572,2134211,,Watounrowo,,,,,,
16079716,2134226,bi,Wasaka,,,,,,
1057527,2134240,,Anse de Wanour,,,,,,
1057528,2134240,,Baie de Wanour,,,,,,
4125573,2134240,,Mouillage de Wanour,,,,,,
15529598,2134242,wkdt,Q32516588,,,,,,
15926313,2134242,,Pointe Wanimbrou,,,,,,
1057529,2134250,,Belchif,,,,,,
1057530,2134250,,Renée,,,,,,
1057531,2134250,,Wamb,,,,,,
4125574,2134250,,Wambu,,,,,,
15619189,2134252,wkdt,Q31400580,,,,,,
15926314,2134252,,Walpoa,,,,,,
1057532,2134254,,Longangoua,,,,,,
1057533,2134254,,Oualourigui,,,,,,
1057534,2134254,,Walurigi,,,,,,
1057535,2134254,,Oualonrigui,,,,,,
1057536,2134254,,Walurighi,,,,,,
4125575,2134254,,Walourigi,,,,,,
1057537,2134265,,Oualaha,,,,,,
4125576,2134265,,Walaha,,,,,,
13290800,2134265,iata,WLH,,,,,,
1057538,2134266,,Île Ouala,,,,,,
1057539,2134266,,Île Wala,,,,,,
1057540,2134266,,Île Valla,,,,,,
4125577,2134266,,Wala,,,,,,
8079466,2134266,link,https://en.wikipedia.org/wiki/Wala_%28island%29,,,,,,
8240065,2134266,,Wala Island,,,,,,
1057541,2134268,,Mont Ouainisi,,,,,,
1057542,2134268,,Colline Wainisi,,,,,,
1057543,2134268,,Wainisi Hill,,,,,,
4125578,2134268,,Waïnisa,,,,,,
15616051,2134275,wkdt,Q31667034,,,,,,
15926315,2134275,,Wahous,,,,,,
15427822,2134277,wkdt,Q31998942,,,,,,
15926316,2134277,,Pointe Wagenoum,,,,,,
