AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1549872,4034748,,Waterwitch Bank,,,,,,
4315626,4034748,,Waterwitch Seamount,,,,,,
1549873,4034749,fr,Territoire des Îles Wallis et Futuna,,,,,,
1620755,4034749,en,Wallis and Futuna,,,,,,
1620756,4034749,de,Wallis und Futuna,,,,,,
1620757,4034749,es,Wallis y Futuna,,,,,,
1620758,4034749,bg,Уолис и Футуна,,,,,,
1620759,4034749,ca,Wallis i Futuna,,,,,,
1620760,4034749,cs,Wallis a Futuna,,,,,,
1620761,4034749,da,Wallis-og-Futuna,,,,,,
1620762,4034749,eo,Valiso kaj Futuno,,,,,,
1620763,4034749,eu,Wallis eta Futuna,,,,,,
1620764,4034749,fi,Wallis- ja Futunasaaret,,,,,,
1620765,4034749,fr,Wallis-et-Futuna,,1,,,,
1620766,4034749,ga,Vailís agus Futúna,,,,,,
1620767,4034749,gl,Wallis e Futuna,,,,,,
1620768,4034749,hr,Wallis i Futuna,,,,,,
1620769,4034749,hu,Wallis és Futuna,,,,,,
1620770,4034749,id,Wallis dan Futuna,,,,,,
1620771,4034749,io,Wallis e Futuna Insuli,,,,,,
1620772,4034749,is,Wallis- og Fútúnaeyjar,,,,,,
1620773,4034749,it,Wallis e Futuna,,,,,,
1620774,4034749,ja,ウォリス・フツナ,,,,,,
1620775,4034749,ko,왈리스 퓌튀나,,,,,,
1620776,4034749,lt,Volisas ir Futūna,,,,,,
1620777,4034749,nl,Wallis en Futuna,,,,,,
1620778,4034749,no,Wallis- og Futunaøyene,,,,,,
1620779,4034749,pl,Wallis i Futuna,,,,,,
1620780,4034749,pt,Wallis e Futuna,,,,,,
1620781,4034749,ru,Острова Уоллис и Футуна,,,,,,
1620782,4034749,hbs,Wallis i Futuna,,,,,,
1620783,4034749,sk,Wallis a Futuna,,,,,,
1620784,4034749,sr,Валис и Футуна,,,,,,
1620785,4034749,sv,Wallis- och Futunaöarna,,,,,,
1620786,4034749,tr,Wallis ve Futuna Adaları,,,,,,
1620787,4034749,zh,瓦利斯和富圖納群島,,,,,,
1633836,4034749,lv,Volisa un Futūna,,,,,,
1896249,4034749,ar,والس وفوتونا,,,,,,
1896250,4034749,be,Выспы Ўоліс і Футуна,,,,,,
1896251,4034749,da,Wallis og Futuna,,,,,,
1896252,4034749,el,Ουαλίς και Φουτουνά,,,,,,
1896253,4034749,he,ואליס ופוטונה,,,,,,
1896254,4034749,kw,Wallis ha Futuna,,,,,,
1982684,4034749,frp,Valis-et-Futuna,,,,,,
1982685,4034749,lv,Volisa un Futuna,,,,,,
2421845,4034749,am,ዋሊስ እና ፉቱና ደሴቶች,1,,,,,
2421846,4034749,ar,جزر والس وفوتونا,1,,,,,
2421847,4034749,be,Уоліс і Футуна,1,,,,,
2421848,4034749,bn,ওয়ালিস ও ফুটুনা,1,,,,,
2421849,4034749,cy,Wallis a Futuna,1,,,,,
2421850,4034749,da,Wallis og Futunaøerne,1,,,,,
