AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
1549980,4034891,,Tuamua,,,,,,
4316264,4034891,,Toamua,,,,,,
15466070,4034891,wkdt,Q32034161,,,,,,
1549981,4034894,sm,Malo Sa’oloto Tuto’atasi o Samoa,,,,,,
1549983,4034894,,Western Samoa,,,,,,
1549984,4034894,,Samoa i Sisifo,,,,,,
1562946,4034894,am,ሳሞአ,,,,,,
1562947,4034894,ar,ساموا,,,,,,
1562948,4034894,bg,Самоа,,,,,,
1562949,4034894,cs,Samoa,,,,,,
1562950,4034894,cy,Samoa,,,,,,
1562951,4034894,da,Samoa,,,,,,
1562952,4034894,de,Samoa,,,,,,
1562953,4034894,el,Σαμόα,,,,,,
1562954,4034894,en,Samoa,,1,,,,
1562955,4034894,eo,Samoo,,,,,,
1562956,4034894,es,Samoa,1,1,,,,
1562957,4034894,et,Samoa,,,,,,
1562958,4034894,fa,ساموا,,,,,,
1562959,4034894,fi,Samoa,,,,,,
1562960,4034894,fo,Sámoa,,,,,,
1562961,4034894,fr,Samoa,,,,,,
1562962,4034894,ga,Samó,,,,,,
1562963,4034894,he,סמואה,,,,,,
1562964,4034894,hr,Samoa,,,,,,
1562965,4034894,hu,Szamoa,,,,,,
1562966,4034894,hy,Սամոա,,,,,,
1562967,4034894,id,Samoa,,,,,,
1562968,4034894,is,Samóa,,,,,,
1562969,4034894,it,Samoa,,,,,,
1562970,4034894,ja,西サモア,,,,,,
1562971,4034894,ka,სამოა,,,,,,
1562972,4034894,km,សាមូអា,,,,,,
1562973,4034894,ko,사모아,,,,,,
1562974,4034894,lt,Samoa,,,,,,
1562975,4034894,lv,Samoa,,,,,,
1562976,4034894,mk,Самоа,,,,,,
1562977,4034894,ms,Samoa,,,,,,
1562978,4034894,mt,Samoa,,,,,,
1562979,4034894,nb,Samoa,,,,,,
1562980,4034894,nl,Samoa,,,,,,
1562981,4034894,nn,Samoa,,,,,,
1562982,4034894,pl,Samoa,,,,,,
1562983,4034894,pt,Samoa,,,,,,
1562984,4034894,ro,Samoa,,,,,,
1562985,4034894,ru,Самоа,,,,,,
