AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
479391,782674,,Šerupa,,,,,,
479392,782674,,Sherupë,,,,,,
2811213,782674,sq,Maja e Ksula e Priftit,,,,,,
4669155,782674,sr,Mali Ksulje e Priftit,,,,,,
6157676,782674,sr,Šerupa,,,,,,
6157677,782674,sq,Sherupë,,,,,,
6895701,782674,link,https://en.wikipedia.org/wiki/%C5%A0erupa,,,,,,
482371,783769,,Stanica Zvečan,,,,,,
4671067,783769,sr,Železnička Stanica Zvečan,,,,,,
6157689,783769,sr,Stanica Zvečan,,,,,,
482372,783770,,Zaccan,,,,,,
2811214,783770,sr,Zvečan,,,,,,
2811215,783770,sr,Звечан,,,,,,
4671068,783770,sq,Zveçan,,,,,,
5763496,783770,no,Zvečan,,,,,,
5763497,783770,link,https://en.wikipedia.org/wiki/Zve%C4%8Dan,,,,,,
482378,783775,,Guri i Kuq,,,,,,
482379,783780,,Zhuri,,,,,,
2811216,783780,sr,Žur,,,,,,
2811217,783780,sr,Жур,,,,,,
4671083,783780,sq,Zhur,,,,,,
6157691,783780,sq,Zhuri,,,,,,
8680759,783780,link,https://en.wikipedia.org/wiki/Zhur,,,,,,
15739292,783780,wkdt,Q8083734,,,,,,
2811218,783781,sr,Zupče,,,,,,
2811219,783781,sr,Зупче,,,,,,
2811220,783781,sq,Zupçë,,,,,,
2928689,783781,link,https://en.wikipedia.org/wiki/Zup%C4%8De,,,,,,
4671086,783781,sq,Zupç,,,,,,
15733450,783781,wkdt,Q230263,,,,,,
482384,783790,,Zylfaj,,,,,,
2811221,783790,sr,Зулфај,,,,,,
4671103,783790,sr,Zulfaj,,,,,,
6157692,783790,sq,Zylfaj,,,,,,
482388,783794,,Mehuka,,,,,,
482389,783794,,Zhuja,,,,,,
2811222,783794,sr,Žuja,,,,,,
2811223,783794,sr,Жуја,,,,,,
4671110,783794,sq,Zhujë,,,,,,
6157693,783794,sq,Zhuja,,,,,,
2811224,783802,sr,Зубин Поток,,,,,,
2811225,783802,sq,Zubinpotok,,,,,,
4671115,783802,sr,Zubin Potok,,,,,,
5763493,783802,sq,Zubin Potok,1,,,,,
5763494,783802,no,Zubin Potok,,,,,,
5763495,783802,link,https://en.wikipedia.org/wiki/Zubin_Potok,,,,,,
8417572,783802,,Zubin Potoku,,,,,,
15763229,783802,wkdt,Q227569,,,,,,
482393,783804,,Zirze,,,,,,
482395,783804,,Žirče,,,,,,
2811226,783804,sr,Zrze,,,,,,
2811227,783804,sr,Зрзе,,,,,,
4671119,783804,sq,Xërxë,,,,,,
482396,783807,,Xërxa,,,,,,
482398,783807,,Zrze,,,,,,
2811228,783807,sr,Zrza,,,,,,
2811229,783807,sr,Зрза,,,,,,
2811230,783807,sq,Xërxe,,,,,,
4671120,783807,sq,Xërxë,,,,,,
6157694,783807,sq,Xërxa,,,,,,
482414,783820,,Zojiq,,,,,,
2811231,783820,sr,Zojić,,,,,,
2811232,783820,sr,Зојић,,,,,,
4671146,783820,sq,Zojz,,,,,,
6157695,783820,sq,Zojiq,,,,,,
482415,783821,,Zošište,,,,,,
2811233,783821,sr,Zočište,,,,,,
2811234,783821,sr,Зочиште,,,,,,
4671150,783821,sq,Zoçishtë,,,,,,
6157696,783821,sr,Zošište,,,,,,
4671163,783828,sr,Zmić,,,,,,
482419,783832,,Qellopek,,,,,,
482420,783832,,Zllopek,,,,,,
482421,783832,,Zllapek,,,,,,
482422,783832,,Zllapeku,,,,,,
482423,783832,,Zallpeku,,,,,,
6157697,783832,sq,Zllapek,,,,,,
6157698,783832,sq,Zllopek,,,,,,
6157699,783832,sq,Qellopek,,,,,,
6157700,783832,sq,Zallpeku,,,,,,
6157701,783832,sq,Zllapeku,,,,,,
482427,783836,,Zllokuqan,,,,,,
482428,783836,,Zlokućani,,,,,,
2811236,783836,sr,Zlokućane,,,,,,
2811237,783836,sr,Злокућане,,,,,,
4671176,783836,sq,Zllakuqan,,,,,,
6157702,783836,sr,Zlokućani,,,,,,
6157703,783836,sq,Zllokuqan,,,,,,
482429,783837,,Zllakuqi,,,,,,
2811238,783837,sr,Zlokućane,,,,,,
2811239,783837,sr,Злокућане,,,,,,
2811240,783837,sq,Zllokuqan,,,,,,
4671177,783837,sq,Zllakuqan,,,,,,
6157704,783837,sq,Zllakuqi,,,,,,
482431,783841,,Prronaj,,,,,,
482432,783841,,Zlipotoku,,,,,,
482433,783841,,Prroni i Keq,,,,,,
482434,783841,,Potok,,,,,,
2811241,783841,sq,Zlipotok,,,,,,
2811242,783841,sr,Зли Поток,,,,,,
4671182,783841,sr,Zli Potok,,,,,,
6157705,783841,sq,Prroni i Keq,,,,,,
6157706,783841,sq,Zlipotoku,,,,,,
6157707,783841,sq,Prronaj,,,,,,
4671183,783842,sr,Zlipotočka Planina,,,,,,
482442,783861,,Zllatarë,,,,,,
2811243,783861,sr,Zlatare,,,,,,
2811244,783861,sr,Златаре,,,,,,
4671208,783861,sq,Zllatar,,,,,,
6157708,783861,sq,Zllatarë,,,,,,
2811245,783862,sr,Zlatare,,,,,,
2811246,783862,sr,Златаре,,,,,,
4671209,783862,sq,Zllatar,,,,,,
482444,783864,,Zijash,,,,,,
482445,783864,,Zlaš,,,,,,
4671213,783864,sr,Veliki Zlaš,,,,,,
6157709,783864,sr,Zlaš,,,,,,
6157710,783864,sq,Zijash,,,,,,
482446,783865,,Zym,,,,,,
482447,783865,,Zümi,,,,,,
482448,783865,,Zimbi,,,,,,
2811247,783865,sr,Зјум,,,,,,
4671218,783865,sr,Zjum,,,,,,
6157711,783865,sq,Zym,,,,,,
11313112,783865,link,https://en.wikipedia.org/wiki/Zym,,,,,,
2811248,783866,sr,Zjum,,,,,,
2811249,783866,sr,Зјум,,,,,,
4671219,783866,sq,Zym,,,,,,
482452,783873,,Shivinjan,,,,,,
482453,783873,,Zhivinjane,,,,,,
2811250,783873,sq,Zhivinjan,,,,,,
2811251,783873,sr,Живињане,,,,,,
4671228,783873,sr,Živinjane,,,,,,
6157712,783873,sq,Shivinjan,,,,,,
6157713,783873,sq,Zhivinjane,,,,,,
482459,783885,,Zhitkofc,,,,,,
482460,783885,,Zhitkovc,,,,,,
2811252,783885,sr,Žitkovac,,,,,,
2811253,783885,sr,Житковац,,,,,,
2811254,783885,sq,Zitkovc,,,,,,
4671246,783885,sq,Zhitkoc,,,,,,
6157714,783885,sq,Zhitkofc,,,,,,
6157715,783885,sq,Zhitkovc,,,,,,
482466,783888,,Ahishta,,,,,,
482467,783888,,Zhit,,,,,,
482468,783888,,Ahishtë,,,,,,
482469,783888,,Zhiti,,,,,,
482470,783888,,Žitinja,,,,,,
482471,783888,,Zhitia,,,,,,
2811255,783888,sr,Житиње,,,,,,
4671249,783888,sr,Žitinje,,,,,,
6157716,783888,sq,Zhiti,,,,,,
6157717,783888,sr,Žitinja,,,,,,
6157718,783888,sq,Zhit,,,,,,
6157719,783888,sq,Zhitia,,,,,,
6157720,783888,sq,Ahishtë,,,,,,
6157721,783888,sq,Ahishta,,,,,,
2811256,783889,sr,Žitinje,,,,,,
2811257,783889,sr,Житиње,,,,,,
2811258,783889,sq,Zhitia,,,,,,
4671250,783889,sq,Zhiti,,,,,,
482481,783898,,Žilivoda,,,,,,
482482,783898,,Želi Voda,,,,,,
482483,783898,,Zhilivodë,,,,,,
2811259,783898,sr,Жиливода,,,,,,
4671267,783898,sr,Žiljivoda,,,,,,
6157722,783898,sr,Žilivoda,,,,,,
6157723,783898,sr,Želi Voda,,,,,,
6157724,783898,sq,Zhilivodë,,,,,,
482488,783908,,Zgatari,,,,,,
482490,783908,,Zgetari,,,,,,
2811260,783908,sq,Zgatar,,,,,,
2811261,783908,sr,Згатаре,,,,,,
4671295,783908,sr,Zgatare,,,,,,
482492,783909,,Zheravice,,,,,,
2811262,783909,sr,Žerovnica,,,,,,
2811263,783909,sr,Жеровница,,,,,,
4671298,783909,sq,Zherovnicë,,,,,,
6157725,783909,sq,Zheravice,,,,,,
15706401,783909,wkdt,Q12751735,,,,,,
4671340,783935,sr,Zeleni Vrh,,,,,,
2811264,783944,sr,Žegra,,,,,,
2811265,783944,sr,Жегра,,,,,,
4671354,783944,sq,Zhegër,,,,,,
8694187,783944,link,https://en.wikipedia.org/wiki/Zheg%C3%ABr,,,,,,
4671355,783945,sr,Žegovac,,,,,,
7364131,783945,sr,Žegovka,,,,,,
482522,783946,,Gornje Žegovce,,,,,,
482523,783946,,Žegovce,,,,,,
482524,783946,,Zhegovc,,,,,,
2811266,783946,sr,Žegovac,,,,,,
2811267,783946,sr,Жеговац,,,,,,
2811268,783946,sr,Жеговце,,,,,,
4671356,783946,sq,Zhegoc,,,,,,
6157726,783946,sr,Žegovce,,,,,,
6157727,783946,sq,Zhegovc,,,,,,
6157728,783946,sr,Gornje Žegovce,,,,,,
482525,783947,,Zhegovc,,,,,,
4671357,783947,sr,Žegovac,,,,,,
6157729,783947,sq,Zhegovc,,,,,,
482530,783952,,Zeçeviq,,,,,,
482531,783952,,Zejćeviće,,,,,,
2811269,783952,sr,Зечевиће,,,,,,
2811270,783952,sq,Zeqeviq,,,,,,
2811271,783952,sq,Zeqeviç,,,,,,
2811272,783952,sq,Zeçevicë,,,,,,
2811273,783952,sr,Зејћевиће,,,,,,
4671371,783952,sr,Zečeviće,,,,,,
6157730,783952,sq,Zeçeviq,,,,,,
6157731,783952,sr,Zejćeviće,,,,,,
482534,783955,,Zebinca,,,,,,
482535,783955,,Zebnicë,,,,,,
2811274,783955,sr,Zebince,,,,,,
2811275,783955,sr,Зебинце,,,,,,
4671375,783955,sq,Zebincë,,,,,,
6157732,783955,sq,Zebnicë,,,,,,
482536,783962,,Ždrela,,,,,,
482537,783962,,Zhdrella,,,,,,
