AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
515157,921652,,Lake Dziani,,,,,,
515158,921652,,Zeann Lake,,,,,,
4140358,921652,,Lac Zeánn,,,,,,
515165,921658,,Vaucluse,,,,,,
515166,921658,,Vaucluse Shoal,,,,,,
4140363,921658,,Banc Vaucluse,,,,,,
515167,921659,,Vatou Islet,,,,,,
515168,921659,,Vatou,,,,,,
4140364,921659,,Îlot Vatou,,,,,,
15275768,921659,wkdt,Q32606543,,,,,,
515173,921668,,Surprise Reef,,,,,,
4140370,921668,,Banc de la Surprise,,,,,,
515174,921670,,South Point,,,,,,
4140371,921670,,Pointe Sud,,,,,,
15205887,921670,wkdt,Q31998759,,,,,,
515175,921672,,Baie Soulou,,,,,,
515176,921672,,Sulu Bay,,,,,,
4140372,921672,,Baie de Soulou,,,,,,
15913248,921673,link,https://en.wikipedia.org/wiki/Sohoa,,,,,,
515177,921676,,Saziley South Passage,,,,,,
4140374,921676,,Passe Saziley du Sud,,,,,,
515178,921677,,Saziley North Passage,,,,,,
4140375,921677,,Passe Saziley du Nord,,,,,,
515179,921678,,Saziley Middle Passage,,,,,,
4140376,921678,,Passe Saziley du Milieu,,,,,,
515180,921679,,Point Saziley,,,,,,
4140377,921679,,Pointe Saziley,,,,,,
15609970,921679,wkdt,Q31998717,,,,,,
515181,921681,,Mont Mausapére,,,,,,
515182,921681,,Mont Sapare,,,,,,
515183,921681,,Sapere Hill,,,,,,
4140378,921681,,Mont Sapere,,,,,,
15495911,921681,wkdt,Q31673236,,,,,,
515188,921690,,Red Mount,,,,,,
4140383,921690,,Morne Rouge,,,,,,
515189,921691,,Point du Rocher,,,,,,
4140384,921691,,Pointe du Rocher,,,,,,
15222088,921691,wkdt,Q31997720,,,,,,
515190,921692,,Récif Point,,,,,,
4140385,921692,,Pointe du Récif,,,,,,
15591080,921692,wkdt,Q32514787,,,,,,
515191,921693,,Ile du Recif,,,,,,
515192,921693,,Reef Islet,,,,,,
4140386,921693,,Îlot du Récif,,,,,,
15239191,921693,wkdt,Q32606326,,,,,,
515193,921694,,Prudente Bank,,,,,,
515194,921694,,Banc la Prudente,,,,,,
4140387,921694,,Banc de la Prudente,,,,,,
515195,921696,,Banc de la Prévoyante,,,,,,
515196,921696,,Prévoyante Reef,,,,,,
4140388,921696,,Récif de la Prévoyante,,,,,,
515205,921702,,Pei-ho,,,,,,
515206,921702,,Pei-ho Reef,,,,,,
4140393,921702,,Récif Peïtro,,,,,,
12187509,921704,link,https://en.wikipedia.org/wiki/Passamainty,,,,,,
12187510,921704,post,97605,,,,,,
12187511,921704,,Passamainty,,,,,,
12187512,921704,,Passamaïnti,,,,,,
13821733,921704,unlc,YTPAS,,,,,,
15785629,921704,wkdt,Q7142530,,,,,,
4140396,921707,fr,Pamandzi,,,,,,
7352138,921707,,Pamandzi,,,,,,
8417613,921707,link,https://en.wikipedia.org/wiki/Pamandzi,,,,,,
8545176,921707,en,Pamandzi,,,,,,
8545178,921707,iata,DZA,,,,,,
515211,921708,,Pamanzi Be,,,,,,
515212,921708,,Pamanzi Island,,,,,,
515213,921708,,Pamanzi,,,,,,
