AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
517452,932313,,High Veld,,,,,,
517453,932313,,Northern Karoo,,,,,,
517454,932313,,High Veldt,,,,,,
517455,932313,,North Karroo,,,,,,
517456,932313,,Upper Karroo,,,,,,
4303147,932313,,Northern Karroo,,,,,,
15600920,932313,wkdt,Q31972221,,,,,,
518007,933451,,Makgobistad,,,,,,
518008,933451,,Makgobi’s Stad,,,,,,
4307058,933451,,Makgobis Stadt,,,,,,
519420,936374,,Roodeport-Maraisburg,,,,,,
2929575,936374,link,https://en.wikipedia.org/wiki/Roodepoort,,,,,,
4316666,936374,,Roodepoort,,,,,,
13822088,936374,unlc,ZARDP,,,,,,
15708817,936374,wkdt,Q2166182,,,,,,
519421,936380,,Cyferkuil,,,,,,
4316667,936380,,Zypher Kuil,,,,,,
519422,936384,,Zyverkraal,,,,,,
4316668,936384,,Zyferkraal,,,,,,
519423,936386,,Zyverfontein,,,,,,
4316669,936386,,Zyferfontein,,,,,,
519424,936393,,Switzerland,,,,,,
519425,936393,,Zwitzerland,,,,,,
4316670,936393,,Zwitserland,,,,,,
2929576,936404,link,https://en.wikipedia.org/wiki/Zwelitsha,,,,,,
4316671,936404,,Zwelitsha,,,,,,
14991343,936404,wkdt,Q8075657,,,,,,
519426,936408,,Sweetfontein,,,,,,
4316672,936408,,Zweet Fontein,,,,,,
15309591,936410,wkdt,Q31400704,,,,,,
15960135,936410,,Zwazwayi,,,,,,
15409267,936411,wkdt,Q31673851,,,,,,
15960136,936411,,Zwavhumbwa,,,,,,
519427,936414,,Swaalfontein,,,,,,
4316673,936414,,Zwavelfontein,,,,,,
519428,936420,,Swartwater,,,,,,
4316674,936420,,Zwartwater,,,,,,
519429,936424,,Zwaartvlei,,,,,,
4316675,936424,,Zwartvlei,,,,,,
519430,936425,,Swartvlei,,,,,,
4316676,936425,,Zwartvlei,,,,,,
519431,936426,,Swart Veld,,,,,,
4316677,936426,,Zwartveld,,,,,,
519432,936427,,Swart Straat,,,,,,
4316678,936427,,Zwart Straat,,,,,,
519433,936429,,Zwartkraal,,,,,,
4316679,936429,,Zwartskraal,,,,,,
519434,936431,,Swartrug,,,,,,
4316680,936431,,Zwartrug,,,,,,
519435,936432,,Swart Rivier Drift,,,,,,
4316681,936432,,Zwart Riviers Drift,,,,,,
519436,936435,,Zwartrandies,,,,,,
