AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
135921,175012,,Lulungwe,,,,,,
135922,175012,,Zulungwa,,,,,,
3332625,175012,,Zulungwe,,,,,,
135923,175017,,Emily Zombe,,,,,,
3332626,175017,,Zombe,,,,,,
135924,175021,,Yungo,,,,,,
3332628,175021,,Yunga,,,,,,
15180410,175028,wkdt,Q32058548,,,,,,
15922449,175028,,Yendwe Valley,,,,,,
135925,175030,,Yotula,,,,,,
3332633,175030,,Yatula,,,,,,
135926,175035,,Yambala,,,,,,
3332634,175035,,Yambola,,,,,,
135927,175038,,Yaramanga Hill,,,,,,
3332636,175038,,Yalananga Hill,,,,,,
135928,175040,,Yaramanga,,,,,,
3332637,175040,,Yalamanga,,,,,,
135929,175043,,William Siame,,,,,,
3332639,175043,,William Siyame,,,,,,
135930,175046,,Bemba Native Reserve Number VII,,,,,,
135931,175046,,Muwanga,,,,,,
135932,175046,,Bemba,,,,,,
135933,175046,,Mporokoso,,,,,,
3332640,175046,,Wemba Native Reserve Number VII,,,,,,
135934,175047,,Bemba Makasa,,,,,,
3332642,175047,,Wemba Makasa Reserve,,,,,,
135935,175051,,Wutola Pool,,,,,,
3332643,175051,,Watola Pool,,,,,,
15689059,175053,wkdt,Q32041167,,,,,,
15922456,175053,,Wanzye Point,,,,,,
135936,175054,,Mwanzwangwe,,,,,,
3332646,175054,,Wanzangwe,,,,,,
135937,175063,,Viula,,,,,,
3332651,175063,,Vyula,,,,,,
135938,175064,,Fiula,,,,,,
135939,175064,,Viula,,,,,,
135940,175064,,Viyula,,,,,,
3332652,175064,,Vyula,,,,,,
135941,175065,,Viula,,,,,,
3332653,175065,,Vyula,,,,,,
135942,175066,,Fumbu,,,,,,
3332655,175066,,Vumbu Hill,,,,,,
135943,175070,,Sipapa,,,,,,
3332657,175070,,Vipapa,,,,,,
135944,175075,,Buningi,,,,,,
4100754,175075,,Uningi Pans,,,,,,
4100755,175075,,Uninje,,,,,,
15383423,175075,wkdt,Q32037729,,,,,,
135946,175077,,Wampanda,,,,,,
3332667,175077,,Twampande,,,,,,
135947,175081,,Tipili,,,,,,
3332669,175081,,Tupele Swamp,,,,,,
135948,175094,,Totone,,,,,,
3332675,175094,,Totome,,,,,,
135949,175095,,Tondwa Flats,,,,,,
3332676,175095,,Tondwa Swamp,,,,,,
135950,175108,,Tikanombe,,,,,,
3332678,175108,,Tikangombe Hill,,,,,,
135951,175115,,Tembo,,,,,,
3332685,175115,,Temba,,,,,,
135952,175119,,Tapo,,,,,,
3332686,175119,,Tapa,,,,,,
135953,175120,,Tanzuka,,,,,,
3332687,175120,,Tansuka,,,,,,
135956,175122,,Lac Tanganyka,,,,,,
135957,175122,,Tanganyka Meer,,,,,,
135958,175122,,Tanganyika,,,,,,
135959,175122,de,Tanganjika See,,,,,,
4100759,175122,en,Lake Tanganyika,,,,,,
4100760,175122,,Lac Tanganika,,,,,,
135960,175124,,Matanga,,,,,,
3332688,175124,,Tanga,,,,,,
135961,175125,,Tambamweru,,,,,,
3206287,175125,,Tambamwelu,,,,,,
135962,175126,,Fianpanga,,,,,,
3332690,175126,,Tambala,,,,,,
135963,175127,,Tabwa,,,,,,
3332691,175127,,Tabwa Native Reserve Number VI,,,,,,
135964,175132,,Sinzu,,,,,,
135965,175132,,Sunsu,,,,,,
3332695,175132,,Sunzu,,,,,,
135966,175133,,Susa,,,,,,
3332697,175133,,Sunsa,,,,,,
135967,175138,,Sumbu Game Reserve No. 6,,,,,,
135968,175138,,Sumbu National Park No. 6,,,,,,
135969,175138,,Sumbu Game Reserve,,,,,,
3332699,175138,,Sumbu National Park,,,,,,
135970,175152,,Sonjesi,,,,,,
3332703,175152,,Sonjese,,,,,,
135971,175158,,Pakompe,,,,,,
3332704,175158,,Sompe,,,,,,
135972,175162,,Sokwero,,,,,,
3332705,175162,,Sokwelo,,,,,,
135973,175165,,Sokone,,,,,,
3332706,175165,,Sokoni,,,,,,
135974,175168,,Sowongo,,,,,,
135975,175168,,Sabongo,,,,,,
3332707,175168,,Sobongo,,,,,,
135976,175169,,Sizia Ridge,,,,,,
135977,175169,,Sinza Ridge,,,,,,
3332708,175169,,Sizya Ridge,,,,,,
135978,175170,,Sinanombe,,,,,,
135979,175170,,Siwanombe,,,,,,
3332710,175170,,Siwangombe,,,,,,
135980,175171,,Siwanga,,,,,,
3332711,175171,,Siwangawa,,,,,,
135981,175173,,Sisagoro,,,,,,
3332717,175173,,Sisagolo,,,,,,
135982,175176,,Shinondi,,,,,,
135983,175176,,Shinonde,,,,,,
135984,175176,,Shimonde,,,,,,
3332722,175176,,Sinonde,,,,,,
135985,175179,,Sungwa,,,,,,
3332725,175179,,Singwa,,,,,,
135986,175180,,Singovi,,,,,,
3332726,175180,,Singoyi,,,,,,
135987,175182,,Nsindano,,,,,,
3332727,175182,,Sindano,,,,,,
135988,175183,,Sindane,,,,,,
3332728,175183,,Sindano,,,,,,
135989,175190,,Simwenia,,,,,,
3332729,175190,,Simwenya,,,,,,
135990,175191,,Simwenia,,,,,,
3332730,175191,,Simwenya,,,,,,
135991,175192,,Simunde,,,,,,
3332732,175192,,Simundu Hill,,,,,,
15379086,175193,wkdt,Q31411481,,,,,,
15922543,175193,,Simulunsi Ridge,,,,,,
135992,175196,,Simon Neimba,,,,,,
3332733,175196,,Simon Nsimba,,,,,,
135993,175202,,Sirimani,,,,,,
3332739,175202,,Silimani,,,,,,
135994,175211,,Shikai,,,,,,
3332748,175211,,Sikai,,,,,,
135995,175221,,Sinondo,,,,,,
3332765,175221,,Shinondo,,,,,,
135996,175224,,Shimwela,,,,,,
3332767,175224,,Shimwenya,,,,,,
135997,175225,,Shimwalela,,,,,,
3332768,175225,,Shimwelela,,,,,,
135998,175228,,Shem,,,,,,
3332776,175228,,Shemu,,,,,,
135999,175230,,Sheveri,,,,,,
136000,175230,,Sheveli,,,,,,
3206555,175230,,Shefele,,,,,,
136001,175233,,Shyakumbu,,,,,,
3332781,175233,,Shakumbu,,,,,,
136002,175234,,Shadra,,,,,,
3332782,175234,,Shadrack,,,,,,
136003,175235,,Sankanona,,,,,,
3332787,175235,,Senkanone,,,,,,
136004,175243,,Semo,,,,,,
3332790,175243,,Semu,,,,,,
15275646,175251,wkdt,Q31411483,,,,,,
15922606,175251,,Sanya,,,,,,
136005,175255,,Saniela,,,,,,
136006,175255,,Sanyela,,,,,,
3332795,175255,,Sanjela,,,,,,
136007,175258,,Sanzi,,,,,,
3332801,175258,,Sanchi,,,,,,
136008,175259,,Samson Siame,,,,,,
3332802,175259,,Samson Siyame,,,,,,
136010,175265,,Samty,,,,,,
4100778,175265,,Samfu,,,,,,
136011,175267,,Musampa,,,,,,
3332804,175267,,Sambwe,,,,,,
136012,175274,,Saisi River,,,,,,
4100780,175274,,Saisi,,,,,,
136013,175281,,Rose Mission,,,,,,
3332810,175281,,Rosa Mission,,,,,,
136014,175291,,Cape Pungu,,,,,,
4100782,175291,,Cap Pungu,,,,,,
15327155,175291,wkdt,Q32378564,,,,,,
15693033,175293,wkdt,Q31411488,,,,,,
15922628,175293,,Pulwe,,,,,,
136015,175297,,Tukutu,,,,,,
3332816,175297,,Pukutu,,,,,,
136016,175298,,Papamosi,,,,,,
136017,175298,,Popomosi,,,,,,
136018,175298,,Popamosi,,,,,,
3332817,175298,,Popomozi,,,,,,
136019,175299,,Popomoshi,,,,,,
136020,175299,,Popomosi,,,,,,
3332818,175299,,Popomozi,,,,,,
136021,175300,,Panya Hill,,,,,,
3332819,175300,,Ponya Hill,,,,,,
136022,175307,,Pambwe,,,,,,
3332824,175307,,Pombwe,,,,,,
136023,175311,,Pembe,,,,,,
3332825,175311,,Pimbe,,,,,,
136024,175321,,Pande Pool,,,,,,
3332828,175321,,Pende Pool,,,,,,
136025,175323,,Pemba,,,,,,
136026,175323,,Lake Pembe,,,,,,
3206696,175323,,Pembe Lagoon,,,,,,
136027,175326,,Pembe,,,,,,
3332829,175326,,Pemba,,,,,,
