AlternateNameId,GeonameId,ISOLanguage,AlternateName,isPreferredName,isShortName,isColloquial,isHistoric,inUseFrom,inUseTo
501859,878519,,Sipolilo,,,,,,
501860,878519,,Chipuriro,,,,,,
501861,878519,,Chiporiro,,,,,,
3198767,878519,en,Guruve,,,,,,
3198768,878519,en,Guruwe,,,,,,
6111629,878519,en,Sipolilo,,,,,,
6111630,878519,en,Chipuriro,,,,,,
6111631,878519,en,Chiporiro,,,,,,
7071829,878519,link,https://en.wikipedia.org/wiki/Guruve,,,,,,
15774461,878519,wkdt,Q5620576,,,,,,
501862,878520,,Hunyani,,,,,,
4098077,878520,,Rio Panhame,,,,,,
501863,878521,,Nyanga,,,,,,
3198769,878521,,Inyanga,,,,,,
7123745,878521,link,https://en.wikipedia.org/wiki/Nyanga%2C_Zimbabwe,,,,,,
501864,878522,,Zwomusoro,,,,,,
4098078,878522,,Zwomosoro,,,,,,
501865,878524,,Zvitombo,,,,,,
4098079,878524,,Zwitombo,,,,,,
501866,878525,,Susokwe River,,,,,,
3198770,878525,en,Zvisokwe,,,,,,
3198771,878525,en,Zwisokwe,,,,,,
6111632,878525,en,Susokwe River,,,,,,
501867,878526,,Swipfuko,,,,,,
3198772,878526,en,Zvipfuko,,,,,,
3198773,878526,en,Zwiptuko,,,,,,
6111633,878526,en,Swipfuko,,,,,,
15403772,878526,wkdt,Q31413835,,,,,,
3198774,878527,en,Zwipanga,,,,,,
6111634,878527,,Zwipanga,,,,,,
501868,878528,,Zwepadze,,,,,,
501869,878528,,Zwipadzi,,,,,,
3198775,878528,,Zwipadze Siding,,,,,,
501870,878529,,Zimenya,,,,,,
3198776,878529,en,Zviminya,,,,,,
3198777,878529,en,Zwiminya,,,,,,
15619561,878529,wkdt,Q31413837,,,,,,
501871,878530,,Zwimpele Hill,,,,,,
4098080,878530,,Zwimbele,,,,,,
501872,878531,,Zwimba Reserve,,,,,,
501873,878531,,Zvimba,,,,,,
4098081,878531,,Zwimba Tribal Trust Land,,,,,,
